Key	English	French
You don't have enough of the required currency\nto purchase this item.\n\nPurchasing currency is currently not\navailable on this platform.	You don't have enough of the required currency\nto purchase this item.\n\nPurchasing currency is currently not\navailable on this platform.	Vous ne pouvez vous procurer cet item\npuisque vous ne disposez pas des fonds nécessaires.\n\nL'achat de pièces ou de billets n'est pas\ndisponible sur cette plateforme.
Login to Facebook to race against your friends' replays!	Log in to Facebook to race against your friends' replays!	Connecte-toi à Facebook pour courser contre les reprises de tes amis!
LOG IN	LOG IN	CONNECTE
NO THANKS	NO THANKS	NON MERCI
Having fun?	Having fun?	Vous avez du plaisir?
Please rate the game to help spread the word!	Please rate the game to help spread the word!	Veuillez coter le jeu afin de nous aider à le partager!
RATE IT!	RATE IT!	COTEZ-LE!
YES	YES	OUI
NO	NO	NON
Are you sure you want to quit the application?	Are you sure you want to quit the application?	Êtes-vous sur de vouloir quitter l'application?
Family Garage	Family Garage	Garage familial
Frontier Fun	Frontier Fun	Plaisirs de campagne
Lots of room!	Lots of room!	Beaucoup de place!
Hottest place on Earth	Hottest place on Earth	L'endroit le plus chaud au monde!
Atlantean Garage	Atlantean Garage	Garage Atlantéen
STORE	STORE	BOUTIQUE
SHOWROOM	SHOWROOM	EXPOSITION
OPEN	OPEN	OUVRIR
NEW! THE STORE	NEW! THE STORE	NOUVEAU! LA BOUTIQUE
The store allows you to stack up on powerups and buy mystery crates. Give it a look!	The store allows you to stack up on powerups and buy mystery crates. Give it a look!	La boutique vous permet d'acheter des atouts ainsi que des caisses mystère. Jetez-y un coup d'oeil!
NEW! THE SHOWROOM	NEW! THE SHOWROOM	NOUVEAU! L'EXPOSITION
The showroom lets you put your favorite cars on display, for all your friends to see. Go set it up!	The showroom lets you put your favorite cars on display, for all your friends to see. Go set it up!	L'exposition vous permet de mettre vos voitures favorites en valeur, pour que tous vos amis les voient! Allez la mettre en place!
 MYSTERY CRATES	 MYSTERY CRATES	 CAISSES MYSTÈRE
 SETS OF POWERUPS	 SETS OF POWERUPS	 ENSEMBLES D'ATOUTS
Please allow the game to access your Facebook account. In your device's Settings app, select Facebook and allow "Road Trip 2".	Please allow the game to access your Facebook account. In your device's Settings app, select Facebook and allow "Road Trip 2".	Assurez-vous que le jeu a accès à votre compte Facebook. Dans l'app de Réglages de votre téléphone, sélectionez Facebook et autorisez "Road Trip 2".
FRIENDS	FRIENDS	AMIS
LOCATIONS	LOCATIONS	ENDROITS
NOT LOGGED IN	NOT LOGGED IN	PAS CONNECTÉ
You must be logged in to Facebook in order to share and see your friend's showroom. Would you like to login now?	You must be logged in to Facebook in order to share and see your friend's showroom. Would you like to login now?	Vous devez être connecté à Facebook pour partager et voir les expositions de vos amis. Désirez-vous vous connecter maintenant?
You must be logged in to Game Center in order to share and see your friend's showroom. Would you like to login now?	You must be logged in to Game Center in order to share and see your friend's showroom. Would you like to login now?	Vous devez être connecté à Game Center pour partager et voir les expositions de vos amis. Désirez-vous vous connecter maintenant?
CAN'T RETRIEVE YOUR FACEBOOK FRIENDS LIST.\n\nPLEASE TRY AGAIN.	CAN'T RETRIEVE YOUR FACEBOOK FRIENDS LIST.\n\nPLEASE TRY AGAIN.	IMPOSSIBLE DE RÉCUPÉRER VOTRE LISTE D'AMIS FACBEOOK\n\nESSAYER À NOUVEAU.
CAN'T RETRIEVE YOUR GAME CENTER FRIENDS LIST.\n\nPLEASE TRY AGAIN.	CAN'T RETRIEVE YOUR GAME CENTER FRIENDS LIST.\n\nPLEASE TRY AGAIN.	Impossible de récupérer votre liste d'amis Game Center\n\nPlease try again.
FRIENDS' SHOWROOM	FRIENDS' SHOWROOM	EXPOSITIONS DES AMIS
Waiting for Facebook...	Waiting for Facebook...	En attente de Facebook...
WAITING FOR FACEBOOK...	WAITING FOR FACEBOOK...	EN ATTENTE DE FACEBOOK...
Facebook login failed.	Facebook login failed.	Connection à Facebook échoué.
THANKS FOR PASSING BY!	THANKS FOR PASSING BY!	MERCI DE VOTRE VISITE!
Here's a gift for you :)	Here's a gift for you :)	VOICI UN CADEAU POUR VOUS :)
Score: 	Score: 	Score: 
GARAGE	GARAGE	GARAGE
BARN	BARN	GRANGE
TRUCK	TRUCK	CAMION
CARAVAN	CARAVAN	CARAVANE
UNDERWATER	UNDERWATER	SOUS-MARIN
LOG INTO GAME CENTER TO SEE YOUR FRIEND'S SHOWROOM.	LOG INTO GAME CENTER TO SEE YOUR FRIEND'S SHOWROOM.	CONNECTE-TOI À GAME CENTER POUR VOIR LES EXPOSITIONS DE TES AMIS.
NONE OF YOUR FACEBOOK FRIENDS ARE PLAYING EXTREME ROAD TRIP 2.	NONE OF YOUR FACEBOOK FRIENDS ARE PLAYING EXTREME ROAD TRIP 2.	AUCUN DE VOS AMIS FACEBOOK NE JOUENT À EXTREME ROAD TRIP 2.
NONE OF YOUR GAME CENTER FRIENDS HAVE A SHOWROOM SETUP.	NONE OF YOUR GAME CENTER FRIENDS HAVE A SHOWROOM SETUP.	AUCUN DE VOS AMIS GAME CENTER NE POSSÈDENT UNE EXPOSITION.
SELECT A CAR	SELECT A CAR	SÉLECTIONNER UNE VOITURE
LOADING...	LOADING...	CHARGEMENT...
 HAS'T SETUP ANY SHOWROOM YET.	 HAS'T SETUP ANY SHOWROOM YET.	 N'A PAS ENCORE UTILISÉ LES EXPOSITIONS.
ADD CAR	ADD CAR	VOITURE
FRIEND LIST	FRIEND LIST	LISTE D'AMIS
Log to Facebook now!	Log to Facebook now!	Connectez-vous à Facebook!
Achievements	Achievements	Réalisations
Friend Signs	Friend Signs	Pancarte\nd'amis
Friend Ghosts	Friend Ghosts	Fantôme\nd'amis
CHECK THIS OUT!	CHECK THIS OUT!	VISE-MOI ÇA!
YOU'RE ON A ROLL!	YOU'RE ON A ROLL!	ET ÇA CONTINUE!
IT'S YOUR LUCKY DAY!	IT'S YOUR LUCKY DAY!	C'EST VOTRE JOUR DE CHANCE!
A crazy engineer wants to strap a rocket to your car. What's the worst that could happen?	A crazy engineer wants to strap a rocket to your car. What's the worst that could happen?	Un savant fou veut attacher une fusée sur ta voiture. Quels sont les risques, vraiment?
An epic carrier is passing by! Do you want to hop on for a ride?	An epic carrier is passing by! Do you want to hop on for a ride?	Un transporteur épique passe dans le coin! Tu fais un tour?
It's an evac emergency! Do you want to zip ahead in the chopper?	It's an evac emergency! Do you want to zip ahead in the chopper?	C'est une urgence, on décampe! Embarquez vous dans l'hélicoptère?
Get in the chopper! It's cheaper this time!	Get in the chopper! It's cheaper this time!	L'hélicoptère est encore là! On se la refait à rabais? 
Keep it coming! Enjoy this reduced price on the epic carrier!	Keep it coming! Enjoy this reduced price on the epic carrier!	Ce n'était pas assez! Embarquez sur le transporteur à nouveau avec un prix réduit cette fois!
The explosion wasn't big enough! Let's do it a second time! How about a discount this time?	The explosion wasn't big enough! Let's do it a second time! How about a discount this time?	L'explosion n'a pas été assez impressionnante! Allons-y encore. Un prix d'ami cette fois?
We're going insane! Let's make it even cheaper this time!	We're going insane! Let's make it even cheaper this time!	Nous devenons fous! Allons-y avec un plus gros rabais cette fois!
Let's do it!	Let's do it!	Allons-y!
Amazon River	Amazon River	Rivière Amazone
The Beach	The Beach	La Plage
The Desert	The Desert	Le Désert
The City	The City	La Ville
The Camping	The Camping	Le Camping
The Alps	The Alps	Les Alpes
The Cemetery	The Cemetery	Le Cimetière
Snowy City	Snowy City	Ville enneigée
The Moon	The Moon	La Lune
The Countryside	The Countryside	La campagne
Pixel World	Pixel World	Monde pixellisé
Mine	The Mine	La Mine
CANCEL	CANCEL	ANNULER
MAPS LIST	MAPS LIST	ROUTES
Let your friends know!	Let your friends know!	Partage avec tes amis!
GO	GO	GO
Invalid receipt	Invalid receipt	Reçu invalide
Purchase failed	Purchase failed	Transaction échouée
No Content	No Content	Aucun contenu
No Ads are available at this time. Please try again later.	No Ads are available at this time. Please try again later.	Aucun contenu disponible pour l'instant. Ré-essayer plus tard.
OK	OK	OK
needed to complete purchase.	needed to complete purchase.	sont nécéssaires pour complèter l'achat.
Get	Get	Achetez-en
for	for	pour
BUY	BUY	ACHETER
Watch a video and earn a free crate	Watch a video and earn a free crate	Visionne une vidéo et gagne une caisse
Watch now	Watch now	Visionner
Here's a delivery!	Here's a delivery!	Une livraison!
From your friends at Roofdog	From your friends at Roofdog	De vos amis chez Roofdog
Next in: 	Next in:	Prochaine:
REMAINING	REMAINING	RESTANTES
You have already purchased this item.	You have already purchased this item.	Vous avez déjà acheté cet article.
Permanent coin doubler\n+ ADS Remover	Permanent coin doubler\n+ ADS Remover	Doublez vos pièces pour toujours!\n+ Jouez sans pub!
ADS Remover	ADS Remover	Jouez sans pub!
RESTORE	RESTORE	RESTAURER
Not enough	Not enough	Pas assez de
I just racked up {0} bucks and {1} coins in my daily Frenzy Run! Did you play yours today?	I just racked up {0} bucks and {1} coins in my daily Frenzy Run! Did you play yours today?	Je viens de récolter {0} billets et {1} pièces dans ma Course Frénésie quotidienne! Avez-vous joué la vôtre? 
It's been a while!	It's been a while!	Ça fait un bail!
Time to ride again! Get back on the road!	Time to ride again! Get back on the road!	C'est le temps de rouler! Reprenez la route!
Frenzy Run Ready!	Frenzy Run Ready!	Course Frénésie prête!
A Frenzy Run awaits you! Grab free bucks now!	A Frenzy Run awaits you! Grab free bucks now!	Une Course Frénésie vous attend! Récoltez vos billets maintenant!
UPGRADE YOUR CAR	UPGRADE YOUR CAR	AMÉLIORE TA VOITURE
UPGRADE CAR	UPGRADE CAR	AMÉLIORER
Do you wish to purchase this item?	Do you wish to purchase this item?	Désirez-vous acheter cet item?
APPLY	APPLY	APPLIQUER
Restart this run and lose all progress?	Restart this run and lose all progress?	Reprendre cette course et perdre la partie en cours?
Cancel	Cancel	Annuler
Buy	Buy	Acheter
Play with your friends on Facebook	Play with your friends on Facebook	Compare-toi à tes amis Facebook
You've completed 100% of the missions for this car. You can now perform a Prestige to earn an exclusive badge and prestige tokens. 	You've completed 100% of the missions for this car. You can now perform a Prestige to earn an exclusive badge and prestige tokens. 	Vous avez complétez 100% des missions pour cette voiture. Vous pouvez accomplir un Prestige afin d'obtenir un badge exclusif ainsi que des jetons de prestige. 
This is the last Prestige level for this car. Your missions completion percentage will remain at 100%.	This is the last Prestige level for this car. Your missions completion percentage will remain at 100%.	Ceci est le dernier niveau de Prestige pour cette voiture. Le pourcentage de missions accomplis demeura à 100%.
Performing a Prestige will reset your missions completion for this car to 0%.	Performing a Prestige will reset your missions completion for this car to 0%.	En effectuant un Prestige, le pourcentage de missions accomplies retournera à 0%.
ALL MISSIONS COMPLETED	ALL MISSIONS COMPLETED	TOUTES LES MISSIONS COMPLÉTÉES
PRESTIGE	PRESTIGE	PRESTIGE
Prestige Tokens	Prestige Tokens	Jetons de Prestige
You have {0} token(s). Complete 100% of the missions for any car to earn Prestige Tokens.	You have {0} token(s). Complete 100% of the missions for any car to earn Prestige Tokens.	Vous avez {0} jeton(s). Compléter 100% des missions pour une voiture afin d'obtenir plus de jetons de Prestige.
You can obtain Prestige Tokens by completing 100% of the missions for any car.	You can obtain Prestige Tokens by completing 100% of the missions for any car.	Vous pouvez obtenir des jetons de Prestige en complétant toutes les missions pour une voiture.
Are you sure you want to continue?	Are you sure you want to continue?	Êtes-vous certain de vouloir poursuivre?
Complete them over again to earn more exclusive items.	Complete them over again to earn more exclusive items.	Complétez-les de nouveau pour obtenir encore plus d'éléments exclusifs.
CONTINUE	CONTINUE	POURSUIVRE
Congrats! You've earned {0} Prestige Tokens and a new Prestige Badge.	Congrats! You've earned {0} Prestige Tokens and a new Prestige Badge.	Félicitations! Vous avez obtenu {0} jetons et un nouveau badge.
CONTROLS	CONTROLS	CONTRÔLES
No More Frenzy Run Available!	No More Frenzy Run Available!	Aucune Course Frénésie Disponible!
Do you want to purchase 7 Frenzy Runs right now?	Do you want to purchase 7 Frenzy Runs?	Désirez-vous acheter 7 Courses Frénésie?
Send a challenge to {0}?	Send a challenge to {0}?	Envoyer un défi à {0}?
GAME CENTER CHALLENGE	GAME CENTER CHALLENGE	DÉFI GAME CENTER
Coal	coal nuggets	charbons
Diamonds	diamonds	diamants
Pick Repairs	Pick Repairs	réparations de pic
Dirt blocks	dirt blocks	blocs de terre
Rock blocks	rock blocks	roches
Meters	Meters	Mètres
Crates	crates	boîtes
STREET	STREET	URBAINE
MUSCLE	MUSCLE	MUSCLE
TRUCK	TRUCK	CAMION
PRESTIGE	PRESTIGE	PRESTIGE
NOVELTY	NOVELTY	ORIGINALE
Collect {0} more {1} in Pocket Mine 2.	Collect {0} more {1} in Pocket Mine 2.	Amasse {0} {1} de plus dans Pocket Mine 2.
Travel {0} more meters with a {1} car in Pocket Road Trip.	Travel {0} more meters with a {1} car in Pocket Road Trip.	Parcours {0} mètres de plus avec une voiture de type {1} dans Pocket Road Trip.
PLAY POCKET MINE 2	PLAY POCKET MINE 2	JOUER À POCKET MINE 2
PLAY PRT NOW	PLAY PRT NOW	JOUER À PRT
NOTIFICATIONS	NOTIFICATIONS	ALERTES
Pocket Mine 2 mission completed!	Pocket Mine 2 mission completed!	Mission Pocket Mine 2 réussie!
Pocket Road Trip mission completed!	Pocket Road Trip mission completed!	Mission Pocket Road Trip réussie!
Pocket Mine 3 mission completed!	Pocket Mine 3 mission completed!	Mission Pocket Mine 3 réussie!
CLAIM!	CLAIM!	RÉCLAME!
LOG OUT	LOG OUT	DÉCONNEXION
PLAY WITH YOUR FRIENDS!	PLAY WITH YOUR FRIENDS!	JOUE AVEC TES AMIS!
COMPETE AGAINST OTHER PLAYERS!	COMPETE AGAINST OTHER PLAYERS!	JOUE CONTRE D’AUTRES JOUEURS!
PLAY NOW	PLAY NOW	JOUEZ MAINTENANT
NEW GARAGE ARRIVALS!	NEW GARAGE ARRIVALS!	NOUVELLES BAGNOLES!
New shipment: 6 incredibly fast cars!	New shipment: 6 incredibly fast cars!	Nouvel arrivage: 6 nouvelles voitures ultra rapides!
Six new cars are available for completing missions in our new game, Pocket Road Trip! Check 'em out!	Six new cars are available for completing missions in our new game, Pocket Road Trip! Check 'em out!	Six nouvelles voitures disponibles en complétant des missions dans notre nouveau jeu, Pocket Road Trip! Vise-moi ça!
Six new cars are available for completing missions in our new game, Fishing Break! Check 'em out!	Six new cars are available for completing missions in our new game, Fishing Break! Check 'em out!	Six nouvelles voitures disponibles en complétant des missions dans notre nouveau jeu, Fishing Break! Vise-moi ça!
Six new cars are available for completing missions in our new game, Pocket Mine 3! Check 'em out!	Six new cars are available for completing missions in our new game, Pocket Mine 3! Check 'em out!	Six nouvelles voitures disponibles en complétant des missions dans notre nouveau jeu, Pocket Mine 3! Vise-moi ça!
FREE BUCKS!	FREE BUCKS!	GRATUIT!
play	play	jouer
Minnow	Minnow	Méné
Peamouth	Peamouth	Méné deux-barres
Trout	Trout	Truite
Barracuda	Barracuda	Barracuda
Clownfish	Clownfish	Poisson-clown
Great White Shark	Great White Shark	Grand requin blanc
Catch {0} more {1} in Fishing Break!	Catch {0} more {1} in Fishing Break!	Attrappe {0} {1} de plus dans Fishing Break!
PLAY FISHING BREAK!	PLAY FISHING BREAK!	JOUER À FISHING BREAK!
PLAY POCKET MINE 3	PLAY POCKET MINE 3	JOUER À POCKET MINE 3
Fishing Break! mission completed!	Fishing Break! mission completed!	Mission Fishing Break! réussie!
Kill {0} more {1} in Pocket Mine 3.	Kill {0} more {1} in Pocket Mine 3.	Tuez {0} autre {1} dans Pocket Mine 3.
THE GREEN ORC	THE GREEN ORC	L'ORC VERT
THE BLACK SPIDER	THE BLACK SPIDER	LA MYGALE
THE GOBLIN	THE GOBLIN	LA GOBLIN
PINKY	PINKY	ROSETTA
THE SENTINEL	THE SENTINEL	LA SENTINELLE
THE BERSERKER	THE BERSERKER	LA BERSERKER
Green Orc	Green Orc	Orc vert
Slime	Slime	Gélatine
Black Spider	Black Spider	Mygale
Goblin	Goblin	Goblin
Sentinel	Sentinel	Sentinelle
Berserker	Berserker	Berserker
It's mean and it's green!	It's mean and it's green!	Verte et méchante!
Hanging on a thread.	Hanging on a thread.	Ne tiens que par un fil
They hoard more than just gold.	They hoard more than just gold.	Il collectionne plus que de l'or.
Pink in color and spirit!	Pink in color and spirit!	La vie en rose
Aquiring Target...	Aquiring Target...	Aquisition de la cible en cours...
Sometimes, you just can't stop.	Sometimes, you just can't stop.	Parfois, on ne peut s'arrêter.
REFRESH	REFRESH	VÉRIF.
Videos	Vidéo
You need to allow storage acces to view videos.\nIf you don't see the permissions popup, check your app settings	Vous devez accepter l'accès au storage pour pouvoir visionner des vidéos.\nSi vous ne voyez pas la demande de permission, vérifiez les paramètres de l'application
Retry	Ré-essayer
